Last Scraped;Experiences Offered;Host Since;Host Response Rate;Host Acceptance Rate;Host Listings Count;Host Total Listings Count;Neighbourhood;Neighbourhood Cleansed;Neighbourhood Group Cleansed;Zipcode;Latitude;Longitude;Property Type;Room Type;Accommodates;Bathrooms;Bedrooms;Beds;Bed Type;Square Feet;Price;Weekly Price;Monthly Price;Security Deposit;Cleaning Fee;Guests Included;Extra People;Minimum Nights;Maximum Nights;Calendar Updated;Has Availability;Availability 30;Availability 60;Availability 90;Availability 365;Calendar last Scraped;Number of Reviews;First Review;Last Review;Review Scores Rating;Review Scores Accuracy;Review Scores Cleanliness;Review Scores Checkin;Review Scores Communication;Review Scores Location;Review Scores Value;License;Jurisdiction Names;Cancellation Policy;Calculated host listings count;Reviews per Month;Geolocation
2017-04-08;none;2013-04-23;;;2.0;2.0;Ciudad Lineal;Quintana;Ciudad Lineal;28027;40.43351521610343;-3.655279415128095;Apartment;Private room;2;1.0;1.0;1.0;Real Bed;;25.0;175.0;700.0;300.0;;1;10;3;1125;5 months ago;;0;0;4;279;2017-04-08;32;2013-06-21;2016-06-15;98.0;9.0;10.0;10.0;10.0;9.0;10.0;;;flexible;2.0;0.69;40.4335152161,-3.65527941513
2017-04-08;none;2012-08-05;100.0;;3.0;3.0;Embajadores;Embajadores;Centro;28012;40.40884468871092;-3.699071685292232;Apartment;Entire home/apt;4;1.0;1.0;2.0;Real Bed;;50.0;;;;30.0;2;15;2;365;3 weeks ago;;0;6;36;311;2017-04-08;6;2016-06-20;2016-10-17;84.0;7.0;9.0;9.0;10.0;8.0;9.0;;;strict;2.0;0.61;40.4088446887,-3.69907168529
2017-04-08;none;2015-10-14;100.0;;2.0;2.0;;Embajadores;Centro;28012;40.40903958087849;-3.7046062298840767;Other;Entire home/apt;6;1.5;3.0;9.0;Real Bed;;160.0;;;;;1;25;3;1125;2 months ago;;12;34;55;325;2017-04-08;1;2016-12-29;2016-12-29;80.0;8.0;10.0;10.0;10.0;8.0;10.0;;;flexible;2.0;0.3;40.4090395809,-3.70460622988
2017-04-08;none;2014-05-02;100.0;;2.0;2.0;Palos do Moguer;Palos de Moguer;Arganzuela;28012;40.404393904148996;-3.6984927353370822;Apartment;Entire home/apt;3;1.0;2.0;2.0;Real Bed;;36.0;300.0;1000.0;150.0;50.0;2;0;2;1125;2 weeks ago;;9;27;42;134;2017-04-07;6;2014-05-29;2016-11-27;84.0;8.0;8.0;10.0;9.0;10.0;8.0;;;strict;2.0;0.17;40.4043939041,-3.69849273534
2017-04-08;none;2012-09-11;100.0;;3.0;3.0;Villaverde;Los Angeles;Villaverde;28041;40.355601075084365;-3.698285380255992;Apartment;Entire home/apt;5;1.0;3.0;3.0;Real Bed;60.0;55.0;395.0;1190.0;150.0;30.0;1;0;3;1125;2 weeks ago;;3;14;39;294;2017-04-07;51;2014-09-29;2017-03-31;90.0;10.0;10.0;9.0;10.0;9.0;9.0;Competitividad turística ref. 03/332883.9/16;;moderate;3.0;1.66;40.3556010751,-3.69828538026
2017-04-08;none;2015-07-10;100.0;;8.0;8.0;Embajadores;Embajadores;Centro;28012;40.41068526790117;-3.703614190287683;Apartment;Private room;2;2.0;1.0;1.0;Real Bed;;34.0;;;;10.0;1;15;1;60;yesterday;;14;44;74;349;2017-04-07;41;2016-04-29;2017-03-20;93.0;10.0;9.0;9.0;9.0;10.0;9.0;;;moderate;8.0;3.57;40.4106852679,-3.70361419029
2017-04-08;none;2016-02-18;100.0;;1.0;1.0;;Embajadores;Centro;28012;40.41251993391228;-3.702278487218527;Apartment;Private room;2;1.0;1.0;1.0;Real Bed;;39.0;;;;;1;0;1;1125;today;;7;28;46;320;2017-04-08;36;2016-02-27;2017-03-17;95.0;10.0;10.0;9.0;9.0;10.0;9.0;;;moderate;1.0;2.65;40.4125199339,-3.70227848722
2017-04-08;none;2016-07-22;100.0;;21.0;21.0;La Latina;Palacio;Centro;28005;40.409911652419055;-3.7103677089071856;Apartment;Entire home/apt;5;1.0;2.0;4.0;Real Bed;;200.0;;;;;1;0;1;60;today;;18;40;70;247;2017-04-08;2;2016-10-02;2016-10-29;80.0;10.0;8.0;9.0;8.0;10.0;8.0;;;flexible;13.0;0.32;40.4099116524,-3.71036770891
2017-04-08;none;2012-10-19;100.0;;2.0;2.0;Cortes;Cortes;Centro;28014;40.4118319383773;-3.694950609966471;Apartment;Private room;2;1.0;1.0;1.0;Real Bed;;27.0;;;;10.0;1;15;1;1125;4 weeks ago;;10;10;25;115;2017-04-08;46;2016-01-05;2017-03-25;91.0;9.0;9.0;9.0;10.0;10.0;9.0;;;flexible;2.0;3.0;40.4118319384,-3.69495060997
2017-04-08;none;2011-04-26;100.0;;1.0;1.0;Gaztambide;Gaztambide;Chamberí;28015;40.431579512124465;-3.7125528463358712;Apartment;Entire home/apt;2;1.0;0.0;1.0;Pull-out Sofa;;50.0;;;150.0;20.0;1;0;2;1125;3 days ago;;10;35;64;64;2017-04-08;16;2016-10-31;2017-03-26;99.0;10.0;10.0;10.0;10.0;10.0;10.0;;;flexible;1.0;3.0;40.4315795121,-3.71255284634
